page,pseudo,fbid,fbid#,nb,interactions,interactions/post,info?
CIME.FM,cime.fm,127754787264573,#127754787264573,417,176047,"422,2",non
Je Me Souviens,JeMeSouviens101,233430580026521,#233430580026521,417,142031,"340,6",non
91.9 Sports,919sport,880897441945418,#880897441945418,414,132039,"318,9",oui
La semaine des 4 Julie,lasemainedes4julie,104608224342511,#104608224342511,413,203665,"493,1",non
Fondation pour la défense des droits et libertés du peuple,FDDLP.ORG,111343073938959,#111343073938959,411,411613,"1001,5",non
Forces armées canadiennes,ForcesCanada,686814348097821,#686814348097821,410,129257,"315,3",non
Proverbes et Citations III,lesbellescitations,316864308800813,#316864308800813,404,304874,"754,6",non
Le Journal de la Côte d’Ivoire,lejournaldelacotedivoire,100248218283003,#100248218283003,404,90046,"222,9",non
Indochine officiel,Indochineofficiel,100044354682968,#100044354682968,402,1597326,"3973,4",non
Julie Snyder,JulieSnyderOfficiel,100044468555080,#100044468555080,399,501292,"1256,4",non
Magazine Échos Vedettes,EchosVedettes,239007911977,#239007911977,399,183598,"460,1",non
SPCA Ouest,spcaouest,407069772736427,#407069772736427,397,238510,"600,8",non
Télé-Québec,TeleQc,432743573441081,#432743573441081,395,439120,"1111,7",non
Spotted: Construction Jo clé,Joclemecaniquediesel,784045898334650,#784045898334650,393,166419,"423,5",non
Maliwood,Maliwood223,100656668079693,#100656668079693,391,125944,"322,1",non
K pour Katrine,kpourkatrine,163443740753782,#163443740753782,390,106627,"273,4",non
Harjit Sajjan,harjit.sajjan.7,333515650184221,#333515650184221,389,262971,676,non
TVA Sherbrooke,TVASherbrooke,167332933286664,#167332933286664,389,142242,"365,7",oui
Maika,MaikaDesnoyers,675475525891900,#675475525891900,388,280864,"723,9",non
Thomas Levac,thomlevac,100046899470626,#100046899470626,386,137828,"357,1",non
FSSS CSN,FSSSCSN,266597510026180,#266597510026180,386,134637,"348,8",non
Éric Duhaime,eduhaime,216141861779286,#216141861779286,385,1263369,"3281,5",non
Momo Traore,Momotraore223,1912956812262458,#1912956812262458,384,446748,"1163,4",non
La vie est belle,KingReflexion,100747748008395,#100747748008395,384,352907,919,non
Noovo,Noovo.ca,110795717661,#110795717661,384,316635,"824,6",non
Maxime Bernier,maximebernier.ppc,10419173702,#10419173702,384,240503,"626,3",non
Page libre,pageperdue,1705385373006192,#1705385373006192,383,163821,"427,7",non
L'antichambre,antichambre,186297934721250,#186297934721250,383,113498,"296,3",non
M 102.9,mfm1029,639611466146908,#639611466146908,382,125588,"328,8",non
Manon Massé,QS.ManonMasse,336600869757204,#336600869757204,377,487244,"1292,4",non
Mitsou Gélinas,mitsoug,100044148323840,#100044148323840,377,301778,"800,5",non
Espaces,espacespleinairquebecor,121679791178217,#121679791178217,372,181992,"489,2",non
Tamazgha Monde TV,tamazghamondetv,490517424482366,#490517424482366,371,234041,"630,8",non
Bloc Québécois,blocquebecois,289645734402804,#289645734402804,367,210508,"573,6",non
Support aux gens,supportauxgens.org,624489680933764,#624489680933764,367,129937,"354,1",non
