page,pseudo,fbid,fbid#,nb,interactions,interactions/post,info?
Ecole Suisse de Ski - Villars,essvillars1884,136916643008918,#136916643008918,247,12408,"50,2",non
PME Magazine,pmemagazine,1554091878235748,#1554091878235748,245,743,3,oui
SBK Schweiz - ASI Suisse,sbk.asi,202579843141539,#202579843141539,244,9216,"37,8",non
Collectif neuchâtelois pour la grève féministe,cngf2019,717650748610839,#717650748610839,242,6087,"25,2",non
Bâloise Assurances & Baloise Bank SoBa - Suisse,BaloiseCH,551335015071510,#551335015071510,241,12946,"53,7",non
Piero San Giorgio,pierosan,100044170972293,#100044170972293,241,20071,"83,3",non
Editions d'en bas,editionsdenbas,189362998257,#189362998257,240,2151,9,non
Mr Pub Accro Sénégal,pubaccrosn,300645813332217,#300645813332217,240,6582,"27,4",non
La bande de potes à Renaud,BDP.Renaud,208672196143617,#208672196143617,239,505558,"2115,3",non
Coopération Magazine,cooperation.magazine,178262692187329,#178262692187329,239,30842,129,oui
Nendaz Switzerland,Nendaz.ch,160060230720006,#160060230720006,238,36211,"152,1",non
La Bâtie-Festival de Genève,LaBatieGeneve,120755597845,#120755597845,237,2065,"8,7",non
UDC Vaud,UDCVaud,250699838296511,#250699838296511,237,16027,"67,6",non
PetAlert 87 Haute-Vienne,petalert87.fr,137089323690895,#137089323690895,236,6069,"25,7",non
DownTown K,downtownk,226647004378361,#226647004378361,234,11181,"47,8",non
Aide et Action Suisse,aideetactionch,299973846845674,#299973846845674,233,4801,"20,6",non
Public Eye,PublicEyeSuisse,97721121385,#97721121385,233,27503,118,non
Torgon - Portes du Soleil,torgonportesdusoleil,171895329501142,#171895329501142,233,8759,"37,6",non
FER Genève,fergeneve,1541379879413801,#1541379879413801,231,9930,43,non
Théâtre du Passage - Neuchâtel,theatrepassage,219975172469,#219975172469,231,5137,"22,2",non
Fossil,fossilfr,1573221749648316,#1573221749648316,230,12531,"54,5",non
PS fribourgeois / SP Kanton Freiburg,psf.spf,174301496560,#174301496560,229,4075,"17,8",non
Les Verts lausannois,vertslausannois,180369198646660,#180369198646660,229,5788,"25,3",non
Fribourg-Gottéron,FrGotteron,166711970057741,#166711970057741,227,55318,"243,7",non
Chef-rayane,TheChefRayane,1710005535911416,#1710005535911416,227,114817,"505,8",non
Anzère 365° Nature,anzere,193989577363542,#193989577363542,226,9112,"40,3",non
Orchestre de Chambre de Lausanne,OrchestreChambreLausanne,242032970064,#242032970064,226,14714,"65,1",non
PALP festival,palpfestival,132289260264227,#132289260264227,226,12243,"54,2",non
Vert'libéraux neuchâtelois,pvlNE,150269115117767,#150269115117767,225,5165,23,non
Le Galta,LeGalta.ch,158322288226291,#158322288226291,223,2922,"13,1",non
Canal JH,jhcanal,1789793254475963,#1789793254475963,222,319584,"1439,6",non
Communification,Communification,100044376521337,#100044376521337,221,89989,"407,2",non
Genève par cœur,GeneveParCoeur,283293105704955,#283293105704955,221,218585,"989,1",non
Auto Sport Schweiz GmbH,AutoSportSchweiz,326730487383580,#326730487383580,220,5194,"23,6",non
Conservatoire de Lausanne,conservatoire.lausanne,211815428862848,#211815428862848,220,1230,"5,6",non
Payot Libraire,payot.libraire,1688352074730166,#1688352074730166,220,3527,16,non
Lausanne par cœur,LausanneParCoeur,123559811920516,#123559811920516,219,136904,"625,1",non
Schweizer Bauernverband,schweizerbauernverband,115496418519718,#115496418519718,219,6828,"31,2",non
DécadréE,decadree,464116853787734,#464116853787734,218,1669,"7,7",non
Medair - chaque vie compte,MedairFR,339469546072783,#339469546072783,217,2689,"12,4",non
UDC Lausanne,udclausanne,1599466323698820,#1599466323698820,217,3061,"14,1",non
EPIC-magazine,epicmagazine.ch,683753218369482,#683753218369482,216,2270,"10,5",non
ifage,Ifage,152540868125839,#152540868125839,216,2054,"9,5",non
Nakan.ch,Nakanch,599346753412277,#599346753412277,216,14376,"66,6",non
PLR.Les Libéraux-Radicaux Vaud,PLR.LiberauxRadicauxVaudois,145577158797944,#145577158797944,216,7692,"35,6",non
Université de Fribourg - Universität Freiburg,unifribourg,136807543061240,#136807543061240,216,2404,"11,1",non
Evolène Région Tourisme,evolene.tourisme,142399255959119,#142399255959119,214,19075,"89,1",non
Le journal Gauchebdo,Gauchebdo,806250566084468,#806250566084468,214,1696,"7,9",non
Yverdon Sport FC,YverdonSportFc,561447420553115,#561447420553115,211,8025,38,non
Nicolas Feuz,nicolasfeuzofficiel,100044281321526,#100044281321526,210,54999,"261,9",non
HCC La Chaux-de-Fonds,HccLaChauxdeFonds,12879803605,#12879803605,209,15364,"73,5",non
MCG Officiel,MCGOfficiel,288659088239530,#288659088239530,209,10129,"48,5",non
Neuchâtel Vins et Terroir,NeuchatelVinsTerroir,459810520728911,#459810520728911,209,12191,"58,3",non
B&S style,bsstyle2018,430411537388692,#430411537388692,208,6034,29,non
Musée d'art et d'histoire - Ville de Neuchâtel,museedartetdhistoirevilledeneuchatel,1169358393150244,#1169358393150244,208,1254,6,non
FOOBY,fooby.suisse,361870450827621,#361870450827621,207,11047,"53,4",non
PDC Genève,genevepdc,105982889575233,#105982889575233,205,6727,"32,8",non
Jeunes Vert-e-s Suisse,JeunesVertesSuisse,2068625050104664,#2068625050104664,205,8297,"40,5",non
PetAlert WLG Liège,petalert.wlg.be,1961240694093070,#1961240694093070,205,9961,"48,6",non
"Our world , our life , a mosaic of pictures",picetclicetcolegram,100050591404829,#100050591404829,205,878,"4,3",non
Kapaw,kapawmedia,980642005284857,#980642005284857,204,150028,"735,4",non
"Grève des femmes, Grève féministe",grevefeministe,1979388492135870,#1979388492135870,203,26431,"130,2",non
