page,pseudo,fbid,fbid#,nb,interactions,intMoyennes,média
Canal Zoom,canalzoomtv,154099858095315,#154099858095315,789,74311,"94,2",oui
Boutique Dorothy,boutiquedorothy,163021643786082,#163021643786082,781,49454,"63,3",non
RTBF Tendance,RTBFtendance,606462892739339,#606462892739339,777,21456,"27,6",non
Ville de Liège,liegeville,117876371749601,#117876371749601,769,94335,"122,7",non
Orchestre Philharmonique Royal de Liège,orchestreliege,1515373652123583,#1515373652123583,766,61823,"80,7",non
SecretNews,secretnews2,1290690000000000,#1290685947656730,764,416142,"544,7",non
Younous Omarjee,younousomarjee.europe,2310917338926472,#2310917338926472,759,101937,"134,3",non
Royale Union Saint-Gilloise,unionstgilloise,116957058343225,#116957058343225,753,108215,"143,7",non
FGTB wallonne,fgtbwallonne,194893033968689,#194893033968689,753,27056,"35,9",non
Paul Fraikin,paulfraikinchampions,1728056220778313,#1728056220778313,752,1464858,"1947,9",non
Déco Attitude,decoattitude,976534182405851,#976534182405851,749,19302,"25,8",non
Ville de Bruxelles,BXLvilledebruxelles,122467667881,#122467667881,746,52055,"69,8",non
Ladies' break time Charleroi,ladiesbreaktime,456479917740687,#456479917740687,746,32410,"43,4",non
Panneaux de Savannah,PanneauxdeSavannah,376457022803346,#376457022803346,738,314667,"426,4",non
L’Avenir Wallonie Picarde Sport,lavenirwapisport,1902058483447969,#1902058483447969,738,9991,"13,5",oui
DH - Foot Brabant,dhfootbrabant,2053458448219829,#2053458448219829,733,11246,"15,3",non
DH Dinant Ciney,dhdinantciney,381511435962924,#381511435962924,732,18054,"24,7",oui
Manon Aubry,ManonAubryFR,291537468234855,#291537468234855,731,1335332,"1826,7",non
CINEVOX - le cinéma vu par les Belges,cinevoxetvous,167552173303535,#167552173303535,728,24158,"33,2",non
𝐉𝐄 𝐒𝐔𝐈𝐒 𝐆𝐔𝐈𝐍𝐄𝐄𝐍 𝐄𝐓 𝐉'𝐀𝐈𝐌𝐄 𝐌𝐎𝐍 𝐏𝐀𝐘𝐒,ELDJI.SOW.GUINEEN.FIER,143747085721681,#143747085721681,725,462630,"638,1",non
CHC Liège,chcliege,268826346614091,#268826346614091,723,241243,"333,7",non
Météo-Mons,Meteo.mons,251276594954059,#251276594954059,720,2939261,"4082,3",non
Investig'Action,InvestigAction,39804752934,#39804752934,717,277862,"387,5",non
Fringue de Toi,fringuedetoiboutique,775576265834159,#775576265834159,713,24700,"34,6",non
DH Bastogne Vielsalm,dhbastogne,990318818024143,#990318818024143,713,21039,"29,5",oui
Pape François,PapeFrancoisVatican,100044398870666,#100044398870666,711,2808529,"3950,1",non
Actualité Mouscron-Comines,MouscronComines,121219538213585,#121219538213585,709,19311,"27,2",oui
KotPlanet,kotplanet,212939124331,#212939124331,708,568251,"802,6",non
DH Mobilité Bruxelles,dhmobilitebruxelles,409339966501519,#409339966501519,704,15744,"22,4",oui
C'est vous qui le dites - VivaCité RTBF,CestVousQuiLeDites,331021707084,#331021707084,699,807232,"1154,8",non
Philmode,philmode,208141735933402,#208141735933402,699,63864,"91,4",non
Les mom's imparfaites,Momsimparfaite,100044480712083,#100044480712083,698,376835,"539,9",non
JESUS mon chemin,JesusMonChemin,100057187821023,#100057187821023,698,132407,"189,7",non
La Vague Parallèle,LaVagueParallele,786531988028574,#786531988028574,697,13132,"18,8",non
conakrysports.com,conakrysports,100050305937112,#100050305937112,695,548902,"789,8",non
La Politique Africaine Pour Les Nuls,sociafroentrepreneur,768548616510516,#768548616510516,695,303318,"436,4",non
Charleroi News,SportingCharleroiNews,495129870543214,#495129870543214,695,49584,"71,3",non
Zone de Police du Tournaisis,PoliceTournai,688122764568430,#688122764568430,694,72304,"104,2",non
Permavenir,Permavenir,1122179637810937,#1122179637810937,683,1655625,2424,non
