page,pseudo,fbid,fbid#,nb,interactions,intMoyennes,média
Pad'R,padrofficiel,170634411560,#170634411560,193,67714,"350,8",non
Agence wallonne pour la Sécurité routière - AWSR,awsr.be,1468240060065219,#1468240060065219,193,17370,90,non
Spirou Basket Charleroi,spiroucharleroi,132885030106872,#132885030106872,193,16845,"87,3",non
Camille - allocations familiales,caf.Camille,574203005958599,#574203005958599,193,9275,"48,1",non
PTB Namur,ptb.namur,353115738171647,#353115738171647,193,7384,"38,3",non
Lucie in the R.,lucieinther,1972012586448194,#1972012586448194,193,7303,"37,8",non
Commune de Sainte-Ode,CommuneDeSainteOde,127397990755954,#127397990755954,193,4999,"25,9",non
La vie du Basket Club Libramont en direct,basketclublibramont,212237079128166,#212237079128166,193,4532,"23,5",non
Rien à cacher,rienacach,100596541862743,#100596541862743,192,66500,"346,4",non
David Weytsman,davidweytsmanMR,399183220116113,#399183220116113,192,14458,"75,3",non
enseignement.be,enseignement.be,144127642330702,#144127642330702,192,9171,"47,8",non
Ligue Francophone Belge de Badminton,LigueFrancophoneBelgedeBadminton,143068145763144,#143068145763144,192,6232,"32,5",non
Maison Culturelle d'Ath,maisonculturelledath,211171035617259,#211171035617259,192,5498,"28,6",non
Régionale ECOLO Bruxelles,Ecolobxl,136555119816983,#136555119816983,192,4245,"22,1",non
BIODERMA,BIODERMABelgium,685001044861620,#685001044861620,191,52587,"275,3",non
Une Brique dans le Ventre,unebriquedansleventre,153254748080933,#153254748080933,191,27313,143,non
L'atelier du chat noir,latelierduchatnoir.be,1484237384951721,#1484237384951721,191,19677,103,non
eFarmz,eFarmz,289217351130939,#289217351130939,191,13392,"70,1",non
Centre Culturel de Dinant,CCDinant,499338710101064,#499338710101064,191,8397,44,non
Commune de Martelange,communemartelange,128954474372121,#128954474372121,191,6115,32,non
Hangar 86,hangar86H86,598945946910007,#598945946910007,190,232003,"1221,1",non
David Clarinval,DavidClarinvalMR,246392898737221,#246392898737221,190,34554,"181,9",non
Ville de Philippeville,villedephilippeville,468838416979479,#468838416979479,190,11340,"59,7",non
Théâtre de Poche,poche.be,419030124798695,#419030124798695,190,10258,54,non
M pokora mon monde,mpokoramonmonde,551638278252603,#551638278252603,189,261470,"1383,4",non
Rudy Delhaise - Bourgmestre d'Eghezée,R.Delhaise,659081287825798,#659081287825798,189,48464,"256,4",non
Peuple belge réveillez-vous La Belgique à besoin de vous.,PeupleBelgeReveillezVousLaBelgiqueABesoinDeVous,135100840010962,#135100840010962,189,13078,"69,2",non
Benjamin Schoos,BenjaminSchoos,342320485854872,#342320485854872,189,8163,"43,2",non
Bounguiss Sow Diallo Bruxelles,bounguiss,1846308088806785,#1846308088806785,188,231337,"1230,5",non
Le Meilleur Des Mondes,lemeilleurdesmondesoff,1622026158127891,#1622026158127891,188,225657,"1200,3",non
Roman Roses,romanrosesmusic,513890375375021,#513890375375021,188,80796,"429,8",non
Fedasil Mouscron,FedasilMouscron,339437889990790,#339437889990790,188,15544,"82,7",non
Festival International du Rire de Rochefort,firrochefort,119618058058033,#119618058058033,188,8384,"44,6",non
Liège Centre Asbl,liegegestioncentreville.asbl,1457572604506337,#1457572604506337,188,7966,"42,4",non
Police Locale de La Louvière,PoliceLaLouviere,912998612126969,#912998612126969,187,42285,"226,1",non
Jonathan de Patoul,jodepatoul,2069381119775596,#2069381119775596,187,5264,"28,1",non
Palace,palace.brussels,766396620216206,#766396620216206,187,4397,"23,5",non
Musée de la céramique d'Andenne,MuseedeLaCeramiqueAndenne,683161648395296,#683161648395296,187,4354,"23,3",non
Heytens France,heytens.fr,537955646220710,#537955646220710,187,4019,"21,5",non
Paul Magnette,paul.magnette,29384148415,#29384148415,186,344056,"1849,8",non
Médecins Sans Frontières (Belgique),msf.belgique,53950718052,#53950718052,186,133337,"716,9",non
Olivier Duroy,olivierduroyofficiel,100053560230939,#100053560230939,186,69035,"371,2",non
maconstruction.be,maconstruction.be,1885580581677707,#1885580581677707,186,7806,42,non
5 heures - La Première RTBF,5heures,272878612723269,#272878612723269,186,6571,"35,3",oui
Cafébabel FR,cafebabelfrance,164840663569648,#164840663569648,186,2322,"12,5",non
L'entrepot,Lentrepotmeubles,237212729721619,#237212729721619,185,16488,"89,1",non
Manu Douette,douettemanu,727590607265719,#727590607265719,185,11812,"63,8",non
Association des commerçants Aubelois,Aubel2016,243820172636022,#243820172636022,185,3630,"19,6",non
RIVARIGOlo,Rivarigolo,606341283204809,#606341283204809,184,31738,"172,5",non
Royal Excelsior Virton,revirton,452346824860890,#452346824860890,184,31493,"171,2",non
Le Pulse Café,LePulseCafe,211397773181,#211397773181,184,21003,"114,1",non
Philippe Goffin,philippegoffin.be,105674540984340,#105674540984340,184,16076,"87,4",non
Dj Oli Soquette,DjOliSoquette,100050261929305,#100050261929305,183,56630,"309,5",non
Médor,medormag,536374249795428,#536374249795428,183,11819,"64,6",non
Maison Arc-en-Ciel de Liège,macdeliege,758747160881101,#758747160881101,183,6183,"33,8",non
Ecole de Cirque de Marchin,ecoledecirquedemarchin,497190183651082,#497190183651082,183,5912,"32,3",non
Commune - Koekelberg - Gemeente,koekelberg,317986541580530,#317986541580530,183,5793,"31,7",non
Fatima Ahallouch PS,FatimaAhallouchPS,2281239018764423,#2281239018764423,183,3604,"19,7",non
La Voie du Muslim,LaVoieDuMuslim,530481630326656,#530481630326656,182,63906,"351,1",non
Pascal Michel,pascalmichelliege,223352921567101,#223352921567101,182,34934,"191,9",non
Centre d'Action Laïque,ActionLaique,176170955780752,#176170955780752,182,25243,"138,7",non
Marie Christine Marghem,mc.marghem,341830209277848,#341830209277848,182,14246,"78,3",non
Féminisme Libertaire Bruxelles,FeminismeBxl,1744869182399954,#1744869182399954,182,11473,63,non
Bruxelles Formation,bruxellesformation,365376703512458,#365376703512458,182,4657,"25,6",non
Delhaize,Delhaize,30102123042,#30102123042,181,163641,"904,1",non
Jérôme Guéry,jeromegueryprofessionalrider,852158028158964,#852158028158964,181,117894,"651,3",non
Belfius Mons-Hainaut (officiel),belfiusmonshainaut,335468243157175,#335468243157175,181,12140,"67,1",non
Petite Ferme de Roloux,fermeanimation,500172896714777,#500172896714777,181,8384,"46,3",non
Sudinfo Seraing,sudinfoseraing,528092797274832,#528092797274832,181,3536,"19,5",oui
JMR Courcelles,jmr.courcelles,727179610699960,#727179610699960,181,2975,"16,4",non
Auberge de Rochehaut,aubergederochehaut,214510291915082,#214510291915082,180,196613,"1092,3",non
EpiCURA,Centre.Hospitalier.Epicura,860136584032666,#860136584032666,180,46993,"261,1",non
SPF Finances,SPF.Finances,129125703834314,#129125703834314,180,13902,"77,2",non
La Commune d'Estaimpuis,communedestaimpuis,241991953366101,#241991953366101,180,12665,"70,4",non
Commune d'Engis,communedengis,541685079322586,#541685079322586,180,4416,"24,5",non
Dimitri Legasse,dimitrilegasseps,1408157042783734,#1408157042783734,180,3712,"20,6",non
Militez-Vous? Belgique,Giletsjaunezvous,439168610192449,#439168610192449,180,3565,"19,8",non
ClicPix,clicpix,190252904446001,#190252904446001,179,115822,"647,1",non
Maxime Hardy,Maximardy,1160832417389494,#1160832417389494,179,9752,"54,5",non
Télévie,televie,223511837225,#223511837225,178,75086,"421,8",non
Florence Reuter,florence.reuterbis,171817163027713,#171817163027713,178,8694,"48,8",non
Notélé Culture,noteleculture,602731419928770,#602731419928770,178,3200,18,non
BXFM 104.3,BXFMradio,559378284096110,#559378284096110,178,2040,"11,5",non
Festival International du Rire de Liège,VooRireDeLiege,218918904801988,#218918904801988,177,199180,"1125,3",non
Emmanuel Maurel,emmanuelmaurel,177971842231274,#177971842231274,177,23841,"134,7",non
Arlon Tourisme,Arlontourisme,471703549552986,#471703549552986,177,9418,"53,2",non
Citroën,Citroen.BeLux,115207448503155,#115207448503155,177,8927,"50,4",non
Bel&Bo,ModeBelBo,141917869180257,#141917869180257,177,6787,"38,3",non
Festival International Nature Namur,LeFestivalNatureNamur,114835405219846,#114835405219846,176,15094,"85,8",non
Jette 1090,jette1090,132924033955374,#132924033955374,176,10773,"61,2",non
Je pense aussi à moi,jepenseaussiamoi,594194407382980,#594194407382980,176,9179,"52,2",non
TRAKK,trakknamur,358569407642579,#358569407642579,176,5105,29,non
Com' des Demoiselles,ComdesDemoiselles,488050411315791,#488050411315791,176,4473,"25,4",non
C'est du Belge - RTBF,cdbrtbf,122463804471276,#122463804471276,175,271282,"1550,2",non
Proximus,proximus,396653700450194,#396653700450194,175,93581,"534,7",non
Laurent LOUIS - Debout Les Belges officiel,laurentlouisdlb,1407890879492915,#1407890879492915,175,82175,"469,6",non
ING Belgique,ingbanquebelgique,127544574000243,#127544574000243,175,26491,"151,4",non
Valérie De Bue,DeBueValerie,261617251408,#261617251408,175,17606,"100,6",non
Tous à Pied,tousapied,127013744004183,#127013744004183,175,14528,83,non
Ramdam Musique Charleroi 105.6 FM,ramdammusiquecharleroi,290426047641895,#290426047641895,175,5527,"31,6",non
Le Blog Ansois,leblogansois,1558412437711771,#1558412437711771,175,4484,"25,6",non
Hadya Présie,hadyapresie.fitness,100044311185484,#100044311185484,174,512053,"2942,8",non
Le pays des otaku,otakuscountry,1389142644668983,#1389142644668983,174,47821,"274,8",non
L'Ancre Charleroi,lancre,578475835579603,#578475835579603,174,6803,"39,1",non
Ecole Communale Odénat Bouton - Ecaussinnes,Ecole.Odenat.Bouton,161630793923979,#161630793923979,174,5030,"28,9",non
Groupe DéFI du Parlement bruxellois,DefiParlBxl,241175786018898,#241175786018898,174,4545,"26,1",non
terangabox.com - Idées cadeaux au Sénégal,TerangaBoxSenegal,990473354335862,#990473354335862,174,1822,"10,5",non
Humour de Chat,HumourDeChat1,861975737170825,#861975737170825,173,367940,"2126,8",non
Pepone,lesdeliresdepepone,1580902088846353,#1580902088846353,173,300941,"1739,5",non
P&V Assurances Verzekeringen,pvAssurancesVerzekeringen,181449658864466,#181449658864466,173,8034,"46,4",non
Gracemusic,Gracemusic.fr,126437884081586,#126437884081586,173,6749,39,non
Carrefour Market La Louvière,CarrefourMarketLaLouviere,849877881701006,#849877881701006,173,6618,"38,3",non
Les délires du net,lesdeliresdunet1,362537957712973,#362537957712973,172,78432,456,non
Weenect,Weenect,273046492768442,#273046492768442,172,61201,"355,8",non
Parti National Européen,PartiNationalEuropeen,119566796112345,#119566796112345,172,36659,"213,1",non
PTB Région Bruxelles-Capitale / PVDA Brussels Hoofdstedelijk Gewest,PtbBruxelles,162499363939852,#162499363939852,172,21067,"122,5",non
A la française (music from Universal Belgium),Alafrancaise,319580127153,#319580127153,172,11306,"65,7",non
Plan Cult - RTBF,PlancultRTBF,767460086953150,#767460086953150,172,10305,"59,9",non
Decathlon Belgium,decathlonbelgium,175748449149784,#175748449149784,172,6455,"37,5",non
Kinepolis St Julien Lès Metz,kinepolis.metz,118025984922616,#118025984922616,172,5902,"34,3",non
Unia,unia,169945623038344,#169945623038344,172,5070,"29,5",non
Centre Culturel Libramont,cclibramont,415132761936186,#415132761936186,172,4732,"27,5",non
Solsoc,SolsocASBL,179722848741492,#179722848741492,172,4160,"24,2",non
Jean Pierre Hupkens,jphupkens,1079470685417645,#1079470685417645,172,3113,"18,1",non
La Cafétaria Restaurant,LaCafetariaRestaurant,392660690831761,#392660690831761,171,46587,"272,4",non
Solidaris,solidarismutualite,113417795337739,#113417795337739,171,40678,"237,9",non
Royalcomfort,royalcomfortmeubles,1662059924076561,#1662059924076561,171,31479,"184,1",non
Mouvement Des Jeunes Socialistes,MJSbelgique,249251838499176,#249251838499176,171,9870,"57,7",non
Royal Léopold Club Hockey,RoyalLeopoldClubHockey,235821416591873,#235821416591873,171,7986,"46,7",non
ADL Dison,ADLDison4820,555676531467433,#555676531467433,171,4820,"28,2",non
Ambassade de la République du Rwanda à Bruxelles,AmbaRwandaBe,186023068123267,#186023068123267,171,4667,"27,3",non
Quentin le Bussy,quentinlebussy,196192587162543,#196192587162543,171,4106,24,non
Luxembourg belge,Luxembourgbelge,176809145691876,#176809145691876,170,16645,"97,9",non
Belfius,belfius,117888178337882,#117888178337882,170,15732,"92,5",non
Smartoys,smartoys.be,121844161203284,#121844161203284,170,12917,76,non
GRACQ Schaerbeek,GRACQ1030,162772257569459,#162772257569459,170,3348,"19,7",non
CPAS de Charleroi,CPASdeCharleroi,179010048811794,#179010048811794,169,24591,"145,5",non
Commune d'Assesse,CommuneAssesse,406173359834113,#406173359834113,169,5283,"31,3",non
Financité,reseaufinancite,182923361744574,#182923361744574,169,3828,"22,7",non
Partenamut,Partenamut,161843470541517,#161843470541517,168,45956,"273,5",non
"Un Gars, un Chef - RTBF",UnGarsUnChef,471826669580661,#471826669580661,168,34978,"208,2",non
Les eurodéputé·e·s Europe écologie,eurodeputes.europe.ecologie,110493922301799,#110493922301799,168,8709,"51,8",non
Commerces Courcelles,commercescourcelles,387420211437912,#387420211437912,168,3874,"23,1",non
Culture.be,Culture.be,223318487697670,#223318487697670,168,2659,"15,8",non
Zone de police Orne-Thyle,PoliceOrneThyle,349337105100069,#349337105100069,167,19009,"113,8",non
cnewyork.net,cnewyork,152099348218118,#152099348218118,167,13479,"80,7",non
Commune de Lasne,Lasneofficiel,375473282905643,#375473282905643,167,7290,"43,7",non
PTB Hainaut Occ,ptb.mouscron,1467970000000000,#1467971223485980,167,2504,15,non
Hotel Nivelles-Sud Van der Valk,hotelnivellessudvandervalk,1467193243545453,#1467193243545453,166,17761,107,non
Inspire,LalibreInspire,640235312839005,#640235312839005,166,7014,"42,3",non
Tournai Ramdam Festival,ramdam.festival,596778223711893,#596778223711893,166,5114,"30,8",non
La Libre Golf,lalibregolf,113752897093553,#113752897093553,166,5014,"30,2",oui
Spirou Ladies Charleroi,SpirouLadiesCharleroi,401120616759003,#401120616759003,166,4798,"28,9",non
École communale de Soumagne-Vallée,ecolecommunalesoumagnevallee,2198845537058056,#2198845537058056,166,4635,"27,9",non
Centre Culturel de Dour,centrecultureldour,1545160699049921,#1545160699049921,166,3512,"21,2",non
Inf'Hotton,infhotton,1641110622701945,#1641110622701945,166,3154,19,non
Étudiants de Gauche Actifs - EGA,gauche.be,590648501018578,#590648501018578,166,2709,"16,3",non
Le public lensois,lepublicIensois,607266256148797,#607266256148797,165,235456,1427,non
Fans de Marine Le Pen,fansmarinelepen,1515355085220859,#1515355085220859,165,126706,"767,9",non
Eliane Tillieux,PStillieux,515506935187700,#515506935187700,165,36917,"223,7",non
Josh Lea - Motivation,joshleamotivation,377739599336020,#377739599336020,165,22562,"136,7",non
Geo Holidays,geoholidays2001,563553830365485,#563553830365485,165,4088,"24,8",non
DH Mouscron Comines,dhmouscroncomines,2065696633520624,#2065696633520624,165,2338,"14,2",oui
Frédéric François,fredericfrancoisofficiel,100044269667787,#100044269667787,164,877998,"5353,6",non
Equideo,EQUIDEO,100045093373798,#100045093373798,164,162296,"989,6",non
BLIO NAILS,BlioNails,387530351358377,#387530351358377,164,18639,"113,7",non
Hôpital des Enfants - Kinderziekenhuis,HUDERFUKZKF,225787007763925,#225787007763925,164,17661,"107,7",non
City Nord & Espace Nord,Citynordgosselies,477860779081924,#477860779081924,164,13727,"83,7",non
Commune de Saint Georges sur Meuse,saintGeorgesSurMeuse.be,1294700147267479,#1294700147267479,164,8417,"51,3",non
Commune de Baelen,CommuneBaelen,706203082852478,#706203082852478,164,8415,"51,3",non
Action Damien - Damiaanactie,ActionDamien.Damiaanactie,121822074551891,#121822074551891,164,4936,"30,1",non
Zone de Police de Liège,ZP5277,324132514376755,#324132514376755,163,102252,"627,3",non
Didier Reynders,reyndersdidier,66985740526,#66985740526,163,24502,"150,3",non
BMW Ginion Group,BMW.GinionGroup,281919541823779,#281919541823779,163,11929,"73,2",non
Tanguy Stuckens,stuckens.tanguy,148714198530225,#148714198530225,163,7566,"46,4",non
O'Brother distribution,OBrotherBenelux,186931414699472,#186931414699472,163,6620,"40,6",non
Kinepolis Mulhouse,kinepolismulhouse,156356377726403,#156356377726403,163,5565,"34,1",non
écolo j,ecolojfederal,350135127663,#350135127663,163,5465,"33,5",non
Commune de Modave,communedemodave,1024800000000000,#1024795950899990,163,3616,"22,2",non
MR Hainaut,MRHainaut,264323536984788,#264323536984788,163,2793,"17,1",non
SETCa Brabant wallon,SETCaBW,224251237586216,#224251237586216,163,2592,"15,9",non
Grand Hôpital de Charleroi,GrandHopitaldeCharleroi,313590812136712,#313590812136712,162,57379,"354,2",non
Francofolies de Spa,francosdespa,174533415557,#174533415557,162,28752,"177,5",non
MolenGeek,molengeek,458271117670991,#458271117670991,162,10607,"65,5",non
Comité commerçant du quartier Saint-Nicolas,quartiersaintnicolas,952932888067163,#952932888067163,162,6397,"39,5",non
Elixir d'Essences,elixirdessences,396604287127181,#396604287127181,162,5798,"35,8",non
Alex Invest Immobilier,alexinvestimmobilier,169251789937961,#169251789937961,162,4876,"30,1",non
Andenne Tourisme,OfficeduTourismeAndenne,230909423593310,#230909423593310,162,4126,"25,5",non
Carrefour Market Quiévrain,CarrefourMarketQuievrain,336336486553019,#336336486553019,162,1961,"12,1",non
Belgische Monarchie Monarchie belge Belgian Monarchy,BeMonarchie,1586031578327143,#1586031578327143,161,248771,"1545,2",non
Le Botanique,botaniquebxl,125105367510464,#125105367510464,161,10256,"63,7",non
VOO Basket Pepinster,rbcpepinster,722198637861956,#722198637861956,161,4620,"28,7",non
CHR Sambre et Meuse - Site Meuse,CHRSMSiteMeuse,1933540000000000,#1933535496963980,160,37587,"234,9",non
Julie Vanh,itsJulieVanH,453109111811665,#453109111811665,160,14129,"88,3",non
Olivier Chastel,OlivierChastel,36858143935,#36858143935,160,13867,"86,7",non
Nara Noian,NaraNoianOfficiel,100050313017125,#100050313017125,160,4001,25,non
Radio Campus Bruxelles,radiocampusbxl,457816547705611,#457816547705611,160,3309,"20,7",non
Centre culturel de Gerpinnes,centreculturelgerpinnes,158086781069242,#158086781069242,160,2626,"16,4",non
Centre culturel de Braine-le-Comte,ccblc,1652956371657733,#1652956371657733,160,2322,"14,5",non
Saskia Bricmont,saskiabricmont,585029828583940,#585029828583940,159,15632,"98,3",non
Didier Gosuin,GosuinDidier,604229489762001,#604229489762001,159,9855,62,non
Latifa Gahouchi,latigahouchi,559667107408100,#559667107408100,159,9777,"61,5",non
Commune de Libin,communelibin,321187078681506,#321187078681506,159,7535,"47,4",non
Royal Pingouin Hockey Club Nivellois,PingNivelles,423862080987900,#423862080987900,159,5101,"32,1",non
Indignez-Vous.be,indignezvous.be,109339829156359,#109339829156359,159,4163,"26,2",non
Cappuccino Lbg Official,cappuccinolbgofficial,527472197405592,#527472197405592,158,147041,"930,6",non
Namur Ma Belle,Namurmabelle,100053168029735,#100053168029735,158,53289,"337,3",non
Rajae Maouane,RajaeMaouaneEcolo,110237177033759,#110237177033759,158,23490,"148,7",non
PS Région bruxelloise,psbruxelles,279112515484034,#279112515484034,158,4787,"30,3",non
"Wallonie, ma belle",Walloniemabelle,464393380380782,#464393380380782,157,173573,"1105,6",non
Vision Jeunes,vjeunes,313839061975983,#313839061975983,157,57030,"363,2",non
Frédérique Ries,frederiqueries2,121508211203759,#121508211203759,157,47453,"302,2",non
Château fort de Bouillon,chateaubouillon,218392561547232,#218392561547232,157,21598,"137,6",non
Administration communale de Florennes,acf.florennes,1602138246728411,#1602138246728411,157,5256,"33,5",non
Kinepolis Thionville,kinepolisthionville,158278867546595,#158278867546595,157,4178,"26,6",non
L'Entrepôt À Arlon,LENTREPOTARLON,169745089893892,#169745089893892,157,4047,"25,8",non
Jeunes MR Luxembourg,JeunesMrLuxembourg,470111809703668,#470111809703668,157,3557,"22,7",non
SNCB,SNCB,484217188294962,#484217188294962,156,49232,"315,6",non
Tupperware Belgium,Tupperware.Belgium,168261763226665,#168261763226665,156,32634,"209,2",non
R hotel experiences,rhotel.be,292312387835306,#292312387835306,156,18139,"116,3",non
Zone de police Haute-Meuse,zpHauteMeuse,911746402190910,#911746402190910,156,17230,"110,4",non
Commune de Crisnée,communedecrisnee,1217715131703339,#1217715131703339,156,10877,"69,7",non
Office du Tourisme de Thuin,tourismethuin,315082231953152,#315082231953152,156,10467,"67,1",non
Commune Ittre,communeittre,124378764812735,#124378764812735,156,5653,"36,2",non
La Rasante - Hockey St. Lambert,Rasahockey,176736152363001,#176736152363001,156,4944,"31,7",non
Safa Diallo,safadialloo,470648619674144,#470648619674144,155,189080,"1219,9",non
Le beau vélo de RAVeL - RTBF,LeBeauVeloDeRavel,501257365645,#501257365645,155,14162,"91,4",non
Ridouane Chahid,ridouane.chahid.officiel,236771990191312,#236771990191312,155,9665,"62,4",non
Administration communale d'Ohey,ACOhey,168062793316001,#168062793316001,155,8042,"51,9",non
Centre Culturel d'Herlaimont Chapelle,CentreCulturelHerlaimont,565480920258446,#565480920258446,155,4724,"30,5",non
Start.LAB,startlab.be,606487242751543,#606487242751543,155,2234,"14,4",non
Putin Nation,Putinnation,1700258736955096,#1700258736955096,155,2211,"14,3",non
En cuisine - VivaCité RTBF,EnCuisine,112905018741200,#112905018741200,154,99867,"648,5",non
Commune Tenneville,commune.tenneville,693529104038675,#693529104038675,154,6852,"44,5",non
Commune d'Olne,communedolne,1677810119101176,#1677810119101176,154,6349,"41,2",non
MJ La Louvière Indigo,MJLALOUVIERE,246839015774119,#246839015774119,154,4910,"31,9",non
Gilets Jaunes Namur,GiletsJaunesNamur,316630735725952,#316630735725952,154,3225,"20,9",non
KosovaSchaerbeek,fcks.be,627473540748963,#627473540748963,154,2996,"19,5",non
Handicap International - Humanity & Inclusion,handicapinternationalbelgium,34071644883,#34071644883,154,2632,"17,1",non
Ahmed Laaouej,alaaouej,672031322849835,#672031322849835,153,58599,383,non
UMONS officielle,UniversiteMons,141744629253947,#141744629253947,153,7884,"51,5",non
Grandeur nature - VivaCité RTBF,grandeurnature,111170612336462,#111170612336462,153,5657,37,non
Bibliothèque Publique de Mouscron,Bibliomouscron7700,176647110475,#176647110475,153,4846,"31,7",non
Commune de Rixensart,Commune.Rixensart,164248933632764,#164248933632764,153,4547,"29,7",non
ADL Saint Hubert,ADLsainthubert,652039214898206,#652039214898206,153,2851,"18,6",non
ADL Flémalle,adlflemalle,1445653992430373,#1445653992430373,153,2666,"17,4",non
Tourisme Ottignies Louvain la Neuve,tourismeOttigniesLouvainlaneuve,843922418961610,#843922418961610,153,2493,"16,3",non
Liège Ville de Culture,liegevilledeculture,673712669351875,#673712669351875,153,2363,"15,4",non
Mustang and co,mustangandco,703073236410518,#703073236410518,152,280766,"1847,1",non
FEF - Fédération des Etudiant.e.s Francophones,FederationEtudiantsFrancophones,151768551526819,#151768551526819,152,17456,"114,8",non
Eggo Kitchen House,eggokitchen,100317236705195,#100317236705195,152,14507,"95,4",non
Clinique Saint-Jean / Kliniek Sint-Jan,saintjeansintjan,269143066487242,#269143066487242,152,10520,"69,2",non
Fréquence Eghezée,FrEghezee.be,195913017140254,#195913017140254,152,2944,"19,4",non
Plateforme Prévention Sida,preventionsida,177266365695190,#177266365695190,152,2232,"14,7",non
Lyrics Punchlines,Lyrics2910,114344880211616,#114344880211616,151,40133,"265,8",non
Editions Plantyn,EditionsPlantyn,460357350742250,#460357350742250,151,20359,"134,8",non
Commune de Stoumont,communedestoumont,286308678215342,#286308678215342,151,4000,"26,5",non
Centre Culturel de Jette,CentreCulturelDeJette,427917267266546,#427917267266546,151,2986,"19,8",non
PromAndenne,promandenne.asbl,1570342976580014,#1570342976580014,151,2551,"16,9",non
Bon Sens Belgique,Bonsensbelgique,116153053564038,#116153053564038,150,12393,"82,6",non
Tom at home,TomAtHomeRansart,1657492341220912,#1657492341220912,150,8650,"57,7",non
Ecole Saint-Lambert / Courcelles,Saint.Lambert.Courcelles,778007152229352,#778007152229352,150,3137,"20,9",non
PS Brabant wallon,FederationBw,2057386997872072,#2057386997872072,150,1471,"9,8",non
DéFI Schaerbeek,Defi1030,1781274382101104,#1781274382101104,150,1057,7,non
Zone de Police Ouest Brabant Wallon,www.policeouestbw.be,1580158652257028,#1580158652257028,149,441386,"2962,3",non
SPA La Louvière,SPALaLouviere,769370883209406,#769370883209406,149,138043,"926,5",non
Cécile Djunga,ceciledjunga,120561698148432,#120561698148432,149,136260,"914,5",non
Plaisirs-Meubles,PlaisirsMeubles,170587576673366,#170587576673366,149,87153,"584,9",non
Commune de Vresse-Sur-Semois,vressesursemois,485750891490699,#485750891490699,149,12517,84,non
AXA,AXABelgium,156044451121576,#156044451121576,149,11334,"76,1",non
Carrefour hypermarché Mons,HypermarcheCarrefourMonsGrandsPres,222154001474585,#222154001474585,149,10005,"67,1",non
Police locale de Grâce-Hollogne/Awans,ZP5285,1860184680720242,#1860184680720242,149,9601,"64,4",non
"Europe,Révolution",EuropeRevolution,331613466902613,#331613466902613,149,7836,"52,6",non
Jean-Luc Crucke,cruckejeanluc,63026042352,#63026042352,149,7428,"49,9",non
Charlotte De JAER,charlotte.dejaer,1076016635761525,#1076016635761525,149,6966,"46,8",non
Judo Top Niveau Tournai,judotopniveau,179496689193,#179496689193,149,5650,"37,9",non
Ecole Pays Blanc Antoing,ecolepaysblanc,645043182217638,#645043182217638,149,5090,"34,2",non
Congo Paintings,Wiligama01,154678515205441,#154678515205441,149,4705,"31,6",non
Eghezée (Officiel),communeeghezee,159926784019527,#159926784019527,149,4145,"27,8",non
PTB Rail,ptbrail,185733644797503,#185733644797503,149,4089,"27,4",non
Cinebel.be,cinebel.be,127708781571,#127708781571,149,3762,"25,2",non
PTB Ixelles Etterbeek / PVDA Elsene Etterbeek,PtbIxellesPvdaElsene,175567129235271,#175567129235271,149,1717,"11,5",non
ALATURKA RESTAURANT,srlNaka,1378515655765083,#1378515655765083,148,33183,"224,2",non
UNICEF Belgium,unicefinbelgium,60589646095,#60589646095,148,31860,"215,3",non
Everyone Matters asbl - Refuge pour chats,Everyone.Matters.asbl,116704238829777,#116704238829777,148,17463,118,non
Plug RTL,plugrtl,119058923664,#119058923664,147,73852,"502,4",non
SPA Racing,SpaRacingcom,332588150525676,#332588150525676,147,15692,"106,7",non
Fouta Men Infos,FoutaMenInfos,628725013818850,#628725013818850,147,12589,"85,6",non
Félicien Bogaerts,FelicienBogaerts,100057685797197,#100057685797197,147,10167,"69,2",non
Climax Cinema,ClimaxCine,175452526710348,#175452526710348,147,9424,"64,1",non
KALANI-home,KALANIbedding,671142523043514,#671142523043514,147,2718,"18,5",non
Let It Sound,letitsound.be,180720175317669,#180720175317669,147,2583,"17,6",non
FEDITO BXL asbl,feditobxl,135638299836199,#135638299836199,147,1813,"12,3",non
Profondeville Entité,profondevilleentite.belgique,1886752631589776,#1886752631589776,146,3247,"22,2",non
Latitude Jeunes Liège,latitudejeunes.liege,566730470066285,#566730470066285,146,3124,"21,4",non
Délégation générale du Québec à Bruxelles,QuebecEuropeBe,159908650715064,#159908650715064,146,2528,"17,3",non
Back in the Dayz,backinthedayz.be,283350508957,#283350508957,146,2079,"14,2",non
Ophélie Fontana,ophelie.fontana.12,420618971337067,#420618971337067,145,104105,718,non
SPF Justice,SPFJustice,262005610512565,#262005610512565,145,13085,"90,2",non
Gembloux Agro-Bio Tech,agrobiotech,127843763923158,#127843763923158,145,6491,"44,8",non
Jeunes FGTB,jeunes.fgtb.90,795317707207284,#795317707207284,145,4416,"30,5",non
Visé Magazine,visemag,746171482170252,#746171482170252,145,4160,"28,7",oui
Gesves.com,gesves,624665000913833,#624665000913833,145,3040,21,non
Orange,OrangeBelgium,688456044627534,#688456044627534,144,37396,"259,7",non
Iles de Paix,ilesdepaix,120214258023131,#120214258023131,144,7646,"53,1",non
Ford Belgium,FordBelgium,478314385062,#478314385062,144,4781,"33,2",non
Office du Tourisme Libramont,officedutourismelibramont,629342760461720,#629342760461720,144,4297,"29,8",non
Racont'Art ASBL,RacontArtASBL,131273310218920,#131273310218920,144,2706,"18,8",non
