page,pseudo,fbid,fbid#,nb,interactions,interactions/post,info?
Sven Photographies,SvenPhotographyes,774366199242507,#774366199242507,764,3943156,"5161,2",non
Cineseries.com,cineseriescom,55629344071,#55629344071,762,1811767,"2377,6",non
France 3 Alpes,f3Alpes,128714337199293,#128714337199293,762,1393739,"1829,1",oui
C8,C8TV,87337929751,#87337929751,761,2881956,"3787,1",non
Wiz Farel,IamWizFarel,388308007903636,#388308007903636,759,2354658,"3102,3",non
Is Cool | Fanpage Officielle,IsCoolGame,149567861846,#149567861846,758,1291033,"1703,2",non
Forever Johnny Hallyday Fans LOIRE,ForeverJohnnyHallydayFansLoire,1572107952904636,#1572107952904636,757,865091,"1142,8",non
Le reveil citoyen,lereveilcitoyen,101553277876833,#101553277876833,755,1419863,"1880,6",non
"A corps perdu, Je t'écris de Là-bas, de toi a nous il n'y a qu'un pas GL <3",acorpsperdujetecris,100044579827358,#100044579827358,755,985971,"1305,9",non
Recette Gâteau - 750g,recettesgateaux,132613103505471,#132613103505471,754,1223969,"1623,3",non
Monsieur Panneaux,MonsieurPanneaux,183203561760310,#183203561760310,753,1034215,"1373,5",non
Le Pépère,lepepere,712907758887064,#712907758887064,752,8554827,"11376,1",non
Planetes360,Planetes360,309696362452619,#309696362452619,752,1247396,"1658,8",non
FC Bayern Munich - France,FCBayernMunichFrance,338701892919368,#338701892919368,751,1576215,"2098,8",non
Nos Séries Préférées,NosSeriesPreferees,134847383707764,#134847383707764,750,1294294,"1725,7",non
TÊTU,tetumag,9217671290,#9217671290,750,737634,"983,5",non
Le Rugbynistère,LeRugbynistere,53366179781,#53366179781,747,965137,1292,non
Laurent Asencio,2017NS,1043797258967727,#1043797258967727,746,729303,"977,6",non
Mauvaise Langue,MauvaiseLangueLapage,163814420994516,#163814420994516,745,1323350,"1776,3",non
Association Suzi Handicap Animal officiel,associationsuzihandicapanimal,682994318454139,#682994318454139,744,1161048,"1560,5",non
Le Temple Du Catch,LeTempleDuCatch,734750173313689,#734750173313689,744,600676,"807,4",non
RDC Afrique-Football,RAF.243,854567871244425,#854567871244425,743,751901,1012,non
Wamiz,Wamiz.animaux,98711266484,#98711266484,742,1136423,"1531,6",non
Gendarmerie nationale,gendarmerienationale,158153034248900,#158153034248900,737,2903420,"3939,5",non
Planète Deco Blog,planete.deco.blog,442309329257204,#442309329257204,733,1342218,"1831,1",non
FC Nantes,fcnantes,246075005477935,#246075005477935,732,1032754,"1410,9",non
Gentside,Gentside,303082119720215,#303082119720215,732,769222,"1050,8",non
ObjectifGard,objectifgard,309120608312,#309120608312,732,671438,"917,3",non
footsenegal.com,footsenegalcom,653232681816460,#653232681816460,731,1552075,"2123,2",non
Météo Languedoc,MeteoLanguedoc,843219942363850,#843219942363850,731,775620,1061,non
RUN'IX,runix.fr,443202495829554,#443202495829554,725,2113054,"2914,6",non
Mon Jardin & Ma maison,MonJardinMaMaison,109034335800067,#109034335800067,725,1206170,"1663,7",non
Sports.fr,Sports.fr,24113786723,#24113786723,722,1097513,"1520,1",non
Cultur'Art kabyle,CulturArtKabyle,1433723313309936,#1433723313309936,719,1214247,"1688,8",non
Prions Ensemble,Prions.EsembleavecAdelineMarchand,1641317719459146,#1641317719459146,719,808460,"1124,4",non
Quotidien avec Yann Barthès,Qofficiel,222008437823118,#222008437823118,713,2543208,"3566,9",non
Les Kabyles de Paris,LesKabylesDeParis,365777856831541,#365777856831541,713,877106,"1230,2",non
Happie's,HappiesFR,305156752972266,#305156752972266,712,1663538,"2336,4",non
Le Média pour Tous - Vincent Lapierre,LeMediaPourTous,700293996797342,#700293996797342,712,1090652,"1531,8",non
La Voix du Nord Lens Liévin Hénin,lavoixdunord.lens.lievin.henin.beaumont,194513857245071,#194513857245071,712,756251,"1062,2",oui
6play,6play,492188500971188,#492188500971188,710,2798844,3942,non
GO RIJSEL,GORIJSEL,113581488744252,#113581488744252,708,566385,800,non
Armée de Terre,armee2terre,127131997328094,#127131997328094,707,2268569,"3208,7",non
Les Anonymes Dla Night,LesAnonymesDlaNight,168211036646685,#168211036646685,707,1795043,2539,non
Fan de l'ISS - Station Spatiale Internationale,Fandeliss,971263639640560,#971263639640560,707,907332,"1283,4",non
Béjaia City,bejaiaciityy,411770755544000,#411770755544000,704,1138701,"1617,5",non
Olympique Lyonnais Féminin,olympiquelyonnaisfeminin,250547571658704,#250547571658704,704,939306,"1334,2",non
Le Phare dunkerquois,lepharedunkerquois,232949526740803,#232949526740803,703,643545,"915,4",oui
